Gene	log10_ci_low	log10_ci_high	log10_map	group	group2	Ensembl_transcript_id
A1BG	-5.66477668	-1.19791949	-1.80594829	Autosome	Autosome	ENST00000263100
A1CF	-4.92140366	-1.40862021	-1.94979851	Autosome	Autosome	ENST00000373995
A2M	-3.78617898	-1.46751155	-2.02450338	Autosome	Autosome	ENST00000318602
A2ML1	-5.78552236	-2.03124975	-2.85996193	Autosome	Autosome	ENST00000299698
A3GALT2	-6.14192683	-2.0043369	-3.24779299	Autosome	Autosome	ENST00000442999
A4GALT	-3.05479009	-0.0028025	-0.82343194	Autosome	Autosome	ENST00000401850
A4GNT	-6.14848488	-2.41240834	-3.82757395	Autosome	Autosome	ENST00000236709
AAAS	-6.11973231	-2.16031371	-3.51192772	Autosome	Autosome	ENST00000209873
AACS	-6.10153742	-2.12528788	-3.4661638	Autosome	Autosome	ENST00000316519
AADAC	-5.54224653	-0.63654705	-1.50015605	Autosome	Autosome	ENST00000232892
AADACL2	-6.18144475	-2.29537474	-3.61649799	Autosome	Autosome	ENST00000356517
AADACL3	-6.20799292	-0.80981956	-1.73283077	Autosome	Autosome	ENST00000359318
AADACL4	-2.92535235	-0.00249305	-0.82834966	Autosome	Autosome	ENST00000376221
AADAT	-1.85676996	-0.56360539	-1.2385871	Autosome	Autosome	ENST00000337664
AAED1	-6.13855345	-2.02607948	-3.45885676	Autosome	Autosome	ENST00000375234
AAGAB	-6.11466503	-2.00012421	-2.97462072	Autosome	Autosome	ENST00000261880
AAK1	-1.01888606	-0.06577832	-0.47495875	Autosome	Autosome	ENST00000409085
AAMDC	-6.18468489	-1.96206562	-3.62900385	Autosome	Autosome	ENST00000526415
AAMP	-1.55936123	-0.32654145	-0.95798573	Autosome	Autosome	ENST00000248450
AANAT	-3.38411432	-0.00643515	-0.83541826	Autosome	Autosome	ENST00000250615
AAR2	-6.18774999	-2.1737733	-3.4590145	Autosome	Autosome	ENST00000373932
AARD	-6.20736766	-2.35101714	-3.86567024	Autosome	Autosome	ENST00000378279
AARS	-2.13449406	-1.43073379	-1.70797268	Autosome	Autosome	ENST00000261772
AARS2	-5.66672394	-1.66715935	-2.38926091	Autosome	Autosome	ENST00000244571
AARSD1	-6.15154604	-2.16565893	-3.20403362	Autosome	Autosome	ENST00000427569
AASDH	-3.38110065	-1.24617826	-1.83139132	Autosome	Autosome	ENST00000205214
AASDHPPT	-4.88906858	-0.49704589	-1.44480589	Autosome	Autosome	ENST00000278618
AASS	-5.93949365	-1.72230834	-2.44325125	Autosome	Autosome	ENST00000393376
AATF	-6.0371477	-2.07678755	-3.26941835	Autosome	Autosome	ENST00000225402
AATK	-2.2585012	-1.23295227	-1.63463369	Autosome	Autosome	ENST00000326724
ABAT	-3.37071909	-1.10090906	-1.67512427	Autosome	Autosome	ENST00000396600
ABCA1	-1.79101215	-1.3149703	-1.5379403	Autosome	Autosome	ENST00000374736
ABCA10	-6.23803241	-3.23256023	-4.76971763	Autosome	Autosome	ENST00000269081
ABCA12	-2.07020009	-1.52244116	-1.75136958	Autosome	Autosome	ENST00000272895
ABCA13	-4.4613338	-1.94101714	-2.80731461	Autosome	Autosome	ENST00000435803
ABCA2	-1.35619671	-0.73277351	-1.07459544	Autosome	Autosome	ENST00000341511
ABCA3	-1.8447393	-1.2634219	-1.52486664	Autosome	Autosome	ENST00000301732
ABCA4	-4.49887475	-1.70560263	-2.64618424	Autosome	Autosome	ENST00000370225
