Gene stable ID	Transcript stable ID
ENSG00000210049	ENST00000387314
ENSG00000211459	ENST00000389680
ENSG00000210077	ENST00000387342
ENSG00000210082	ENST00000387347
ENSG00000209082	ENST00000386347
ENSG00000198888	ENST00000361390
ENSG00000210100	ENST00000387365
ENSG00000210107	ENST00000387372
ENSG00000210112	ENST00000387377
ENSG00000198763	ENST00000361453
ENSG00000210117	ENST00000387382
ENSG00000210127	ENST00000387392
ENSG00000210135	ENST00000387400
ENSG00000210140	ENST00000387405
ENSG00000210144	ENST00000387409
ENSG00000198804	ENST00000361624
ENSG00000210151	ENST00000387416
ENSG00000210154	ENST00000387419
ENSG00000198712	ENST00000361739
ENSG00000210156	ENST00000387421
ENSG00000228253	ENST00000361851
ENSG00000198899	ENST00000361899
ENSG00000198938	ENST00000362079
ENSG00000210164	ENST00000387429
ENSG00000198840	ENST00000361227
ENSG00000210174	ENST00000387439
ENSG00000212907	ENST00000361335
ENSG00000198886	ENST00000361381
ENSG00000210176	ENST00000387441
ENSG00000210184	ENST00000387449
ENSG00000210191	ENST00000387456
ENSG00000198786	ENST00000361567
ENSG00000198695	ENST00000361681
ENSG00000210194	ENST00000387459
ENSG00000198727	ENST00000361789
ENSG00000210195	ENST00000387460
ENSG00000210196	ENST00000387461
ENSG00000278457	ENST00000620265
ENSG00000278704	ENST00000618686
ENSG00000275151	ENST00000614589
ENSG00000273947	ENST00000616520
ENSG00000278294	ENST00000611690
ENSG00000279969	ENST00000625007
ENSG00000274882	ENST00000624011
ENSG00000273735	ENST00000620501
ENSG00000280663	ENST00000627415
ENSG00000276379	ENST00000612571
ENSG00000277995	ENST00000611262
ENSG00000275442	ENST00000611558
ENSG00000274692	ENST00000617247
ENSG00000276970	ENST00000622678
ENSG00000277921	ENST00000613676
ENSG00000277554	ENST00000614792
ENSG00000277044	ENST00000625570
ENSG00000277339	ENST00000612646
ENSG00000280695	ENST00000630076
ENSG00000271254	ENST00000612640
ENSG00000274714	ENST00000611873
ENSG00000274807	ENST00000621991
ENSG00000276885	ENST00000611311
ENSG00000277334	ENST00000611233
ENSG00000276433	ENST00000617100
ENSG00000276518	ENST00000614885
ENSG00000275062	ENST00000618993
ENSG00000278152	ENST00000616462
ENSG00000276779	ENST00000618567
ENSG00000275237	ENST00000619946
ENSG00000277267	ENST00000610868
ENSG00000274324	ENST00000616914
ENSG00000274130	ENST00000621120
ENSG00000276820	ENST00000616175
ENSG00000278731	ENST00000616831
ENSG00000278306	ENST00000613265
ENSG00000280538	ENST00000630794
ENSG00000281806	ENST00000628655
ENSG00000281362	ENST00000630612
ENSG00000273575	ENST00000610608
ENSG00000278074	ENST00000618297
ENSG00000277484	ENST00000611369
ENSG00000275407	ENST00000618796
ENSG00000278805	ENST00000614564
ENSG00000275422	ENST00000617076
ENSG00000277620	ENST00000614190
ENSG00000277345	ENST00000613379
ENSG00000275914	ENST00000618388
ENSG00000273510	ENST00000615298
ENSG00000277185	ENST00000619532
ENSG00000273526	ENST00000617783
ENSG00000276534	ENST00000618890
ENSG00000275433	ENST00000617584
ENSG00000276423	ENST00000621353
ENSG00000277650	ENST00000619698
ENSG00000277725	ENST00000611206
ENSG00000273661	ENST00000614650
ENSG00000276876	ENST00000616648
ENSG00000274271	ENST00000614716
ENSG00000276328	ENST00000619074
ENSG00000274163	ENST00000617102
ENSG00000275018	ENST00000625658
ENSG00000274842	ENST00000610968
ENSG00000277616	ENST00000612069
ENSG00000273670	ENST00000612586
ENSG00000274406	ENST00000620669
ENSG00000276424	ENST00000618616
ENSG00000274476	ENST00000618879
ENSG00000277456	ENST00000619623
ENSG00000274696	ENST00000613321
ENSG00000278207	ENST00000616642
ENSG00000262826	ENST00000576030
ENSG00000277070	ENST00000622251
ENSG00000276676	ENST00000615980
ENSG00000277982	ENST00000620485
ENSG00000277376	ENST00000611263
ENSG00000276258	ENST00000619473
ENSG00000274676	ENST00000611422
ENSG00000275946	ENST00000614018
ENSG00000275008	ENST00000617404
ENSG00000274861	ENST00000617148
ENSG00000274339	ENST00000617494
ENSG00000274782	ENST00000613580
ENSG00000274851	ENST00000611568
ENSG00000274948	ENST00000613229
ENSG00000275599	ENST00000617330
ENSG00000273688	ENST00000612178
ENSG00000277570	ENST00000617944
ENSG00000276306	ENST00000610961
ENSG00000276044	ENST00000622350
ENSG00000274830	ENST00000610407
ENSG00000277078	ENST00000615996
ENSG00000278606	ENST00000618640
ENSG00000275659	ENST00000612933
ENSG00000274189	ENST00000614427
ENSG00000276459	ENST00000622644
ENSG00000275276	ENST00000616310
ENSG00000277272	ENST00000612415
ENSG00000274009	ENST00000613972
ENSG00000274942	ENST00000616570
ENSG00000275732	ENST00000616375
ENSG00000278345	ENST00000622812
ENSG00000276035	ENST00000616900
ENSG00000276001	ENST00000619369
ENSG00000281935	ENST00000631855
ENSG00000275717	ENST00000619211
ENSG00000276501	ENST00000619476
ENSG00000275112	ENST00000613596
ENSG00000275848	ENST00000614379
ENSG00000274722	ENST00000617354
ENSG00000274518	ENST00000613378
ENSG00000276013	ENST00000613188
ENSG00000276084	ENST00000618394
ENSG00000275351	ENST00000621713
ENSG00000278248	ENST00000620588
ENSG00000275080	ENST00000617127
ENSG00000262025	ENST00000570973
ENSG00000275786	ENST00000621071
ENSG00000263275	ENST00000576306
ENSG00000275289	ENST00000615486
ENSG00000273881	ENST00000619778
ENSG00000277940	ENST00000610836
ENSG00000262299	ENST00000572320
ENSG00000276858	ENST00000613199
ENSG00000274826	ENST00000617116
ENSG00000262767	ENST00000572295
ENSG00000275436	ENST00000620281
ENSG00000274480	ENST00000612502
ENSG00000273887	ENST00000615739
ENSG00000276450	ENST00000615309
ENSG00000277355	ENST00000613442
ENSG00000278369	ENST00000617853
ENSG00000276329	ENST00000620959
ENSG00000274945	ENST00000613824
ENSG00000275452	ENST00000613017
ENSG00000261992	ENST00000576342
ENSG00000263130	ENST00000577143
ENSG00000275035	ENST00000632401
ENSG00000276247	ENST00000619288
ENSG00000277964	ENST00000619848
ENSG00000274610	ENST00000621881
ENSG00000275699	ENST00000621258
ENSG00000274243	ENST00000619479
ENSG00000276590	ENST00000611821
ENSG00000276806	ENST00000610869
ENSG00000278414	ENST00000610920
ENSG00000275815	ENST00000611175
ENSG00000276004	ENST00000622024
ENSG00000274193	ENST00000622882
ENSG00000274120	ENST00000617950
ENSG00000278327	ENST00000611990
ENSG00000276425	ENST00000611495
ENSG00000281954	ENST00000633215
ENSG00000274283	ENST00000610591
ENSG00000275247	ENST00000615373
ENSG00000275421	ENST00000621207
ENSG00000277729	ENST00000610504
ENSG00000274106	ENST00000612101
ENSG00000277976	ENST00000618429
ENSG00000279974	ENST00000624528
ENSG00000273738	ENST00000622737
ENSG00000273517	ENST00000622039
ENSG00000277742	ENST00000611675
ENSG00000278304	ENST00000612447
ENSG00000277963	ENST00000618910
ENSG00000274707	ENST00000611411
ENSG00000275938	ENST00000610728
